track_file; timestamp of the run; had_video; was_guided; was_force_merge_allowed; distance_from_calculated_arena; max_trace_gap; min_trace_length; bee_max_step_len; bee_max_step_len_per_frame; max_trace_gap_to_interpolate_distance; max_step_distance_to_merge_overlapping_traces; force_merge_vicinity; screen_size; loaded traces; inside arena; zero length; jumps forth and back fixed; traces swapped; after first gaps and redundant; after merging overlapping traces; population size 
../data/Video_tracking/190822/20190822_111607344_1BEE_generated_20210430_080914_nn.csv; 2022-10-25 16:23:02.561480; Unknown; Unknown; Unknown; 53; 150; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 1; 1; ; 0; 0; 1; 1; 1
../data/Video_tracking/190822/20190822_111607344_1BEE_generated_20210430_080914_nn.csv; 2022-10-25 16:28:54.148439; Unknown; Unknown; Unknown; 50; 150; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 1; 1; ; 0; 0; 1; 1; 1
../data/Video_tracking/190822/20190822_111607344_1BEE_generated_20210430_080914_nn.csv; 2022-10-25 16:30:24.196643; Unknown; Unknown; Unknown; 50; 500; ; 1; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 1; 1; ; 0; 0; 1; 1; 1
../data/Video_tracking/190822/20190822_111607344_1BEE_generated_20210430_080914_nn.csv; 2022-10-25 18:04:45.165539; Unknown; Unknown; Unknown; 50; 300; ; 1; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 1; 1; ; 0; 0; 1; 1; 1
../data/Video_tracking/190822/20190822_111607344_1BEE_generated_20210430_080914_nn.csv; 2022-10-25 18:06:49.201514; Unknown; Unknown; Unknown; 50; 200; ; 1; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 1; 1; ; 0; 0; 1; 1; 1
../data/Video_tracking/190822/20190822_111607344_1BEE_generated_20210430_080914_nn.csv; 2022-10-25 18:08:53.772680; Unknown; Unknown; Unknown; 50; 200; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 1; 1; ; 0; 0; 1; 1; 1
../data/Video_tracking/190822/20190822_111607344_1BEE_generated_20210430_080914_nn.csv; 2022-10-26 13:59:51.985471; Unknown; Unknown; Unknown; 50; 200; ; 10; 50; 28; 100; 230; ; [[0, 900], [0, 900]]; 1; 1; 1; 0; 0; 1; 1; 1
../data/Video_tracking/190822/20190822_111607344_1BEE_generated_20210430_080914_nn.csv; 2022-10-27 12:54:38.889959; Unknown; Unknown; Unknown; 50; 504; ; 10; 50; 28; 100; 201; ; [[0, 900], [0, 900]]; 1; 1; 1; 0; 0; 1; 1; 1
../data/Video_tracking/190822/20190822_111607344_1BEE_generated_20210430_080914_nn.csv; 2022-10-27 13:06:25.485165; Unknown; Unknown; Unknown; 50; 505; ; 10; 50; 28; 100; 201; ; [[0, 900], [0, 900]]; 1; 1; 1; 0; 0; 1; 1; 1
../data/Video_tracking/190822/20190822_111607344_1BEE_generated_20210430_080914_nn.csv; 2022-10-27 17:36:23.252299; Unknown; Unknown; Unknown; 53; 150; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 1; 1; 1; 0; 0; 1; 1; 1
../data/Video_tracking/190822/20190822_111607344_1BEE_generated_20210430_080914_nn.csv; 2022-10-27 18:31:35.216933; Unknown; Unknown; Unknown; 53; 150; ; 10; 50; 28; 100; 200; 200; [[0, 900], [0, 900]]; 1; 1; 1; 0; 0; 1; 1; 1
